Number of simulations,Number of moves
1,29.53
2,28.23
3,29.22
4,28.15
5,27.52
6,25.54
7,25.87
8,26.81
9,25.48
10,26.67
40,24.65
70,24.01
100,23.27
130,23.32
160,21.04
190,21.64
220,23.64
250,20.50
280,19.91
310,21.36
340,20.73
370,21.16
400,21.06
430,20.98
460,19.89
490,20.05
520,19.95
550,19.90
580,20.06
610,20.59
640,19.70
670,19.92
700,20.06
730,19.83
760,19.60
790,19.96
820,20.22
850,20.37
880,20.05
910,19.85
940,19.43
970,20.24
1000,19.44
1030,20.19
1060,19.64
1090,19.20
1120,19.14
1150,19.42
1180,19.39
1210,19.78
1240,19.64
1270,18.60
1300,19.08
1330,18.90
1360,19.01
1390,18.71
1420,19.27
1450,19.39
1480,18.76
