Number of simulations,Winrate
1,48.50
2,67.00
3,70.50
4,78.00
5,83.00
6,84.50
7,87.50
8,88.00
9,85.50
10,90.00
40,90.00
70,96.50
100,97.00
130,95.00
160,96.50
190,94.00
220,94.50
250,94.50
280,95.50
310,95.50
340,96.50
370,95.50
400,95.50
430,96.50
460,94.00
490,98.50
520,98.00
550,97.50
580,98.00
610,95.00
640,97.50
670,98.00
700,94.50
730,97.00
760,94.50
790,98.00
820,94.50
850,95.00
880,96.00
910,96.50
940,98.00
970,94.50
1000,96.00
1030,97.50
1060,97.50
1090,98.50
1120,97.00
1150,96.50
1180,98.50
1210,97.00
1240,97.50
1270,96.00
1300,94.00
1330,98.50
1360,96.50
1390,98.50
1420,98.00
1450,96.50
1480,96.00
